,country,description,designation,points,price,province,region_1,title,variety,winery,millesime,Alsace,Beaujolais,Burgundy,Champagne,France Other,Languedoc-Roussillon,Loire Valley,Southwest France
673,France,"This wine has acidity and a good balance between the fresh, crisp character and the richer yellow fruits. It is ready to drink.",,85,16.0,Burgundy,Saint-Véran,Paul Reitz 2020  Saint-Véran,Chardonnay,Paul Reitz,2020,0,0,1,0,0,0,0,0
704,France,"The extra age on this bone-dry wine has paid off, as the taut character of a young wine has been tempered with toast, creating a round feeling. It is perfectly in harmony now, beautiful and crisp.",Oenophile Premier Cru Blanc de Blancs Extra Brut,92,88.0,Champagne,Champagne,Pierre Gimonnet et Fils 2011 Oenophile Premier Cru Blanc de Blancs Extra Brut Chardonnay (Champagne),Chardonnay,Pierre Gimonnet et Fils,2011,0,0,0,1,0,0,0,0
755,France,"Crisp while also fruity, it has bright acidity, lively citrus and apple flavors and a refreshing aftertaste. Drink now.",,86,17.0,Beaujolais,Beaujolais-Villages,Domaine de Thulon 2019  Beaujolais-Villages,Chardonnay,Domaine de Thulon,2019,0,1,0,0,0,0,0,0
769,France,"Young vines, planted in 2011, give a fresh, fruity wine with attractive citrus and zingy orange flavors. It is ripe and deliciously perfumed with a touch of minerality and saltiness. Drink from 2023.",Grèves Premier Cru,90,61.0,Burgundy,Beaune,Domaine Jacques Prieur 2020 Grèves Premier Cru  (Beaune),Chardonnay,Domaine Jacques Prieur,2020,0,0,1,0,0,0,0,0
1069,France,"This tangy wine has attractive acidity and a tightly coiled mineral texture. Apple and lemon flavors shoot right through the bright, crisp texture. Drink from 2021.",,88,19.0,Burgundy,Mâcon-Villages,Cave des Vignerons de Buxy 2020  Mâcon-Villages,Chardonnay,Cave des Vignerons de Buxy,2020,0,0,1,0,0,0,0,0
1071,France,"From vines in the northern part of the appellation, this ripe wine conveys peaches and apricots laced with lime. A vibrant, mineral wine with swathes of fresh acidity, it can be drunk now.",,88,24.0,Burgundy,Saint-Véran,Château de Fuissé 2020  Saint-Véran,Chardonnay,Château de Fuissé,2020,0,0,1,0,0,0,0,0
1072,France,"This rich wine is full and has a good balance of acidity and fruit. The lightly mineral texture gives bite and crispness. It is still a young, tight wine needing another few months. Drink from 2021.",,88,40.0,Burgundy,Chassagne-Montrachet,Château de Santenay 2020  Chassagne-Montrachet,Chardonnay,Château de Santenay,2020,0,0,1,0,0,0,0,0
1074,France,"Spicy, fruity and attractive, this balanced wine has acidity, tight minerality, yellow fruits and a richer texture. Full bodied and generous, it will age well. Drink from 2021.",Vers Cras,88,29.0,Burgundy,Pouilly-Fuissé,Christophe Cordier 2020 Vers Cras  (Pouilly-Fuissé),Chardonnay,Christophe Cordier,2020,0,0,1,0,0,0,0,0
1084,France,"Fresh, crisp and fruity, this is an immediately drinkable wine. It has great freshness, lively acidity and perfumed apple fruitiness. The acidity cuts through brightly and leaves a vibrant, textured aftertaste.",,87,24.0,Burgundy,Pouilly-Fuissé,Bouchard Père & Fils 2020  Pouilly-Fuissé,Chardonnay,Bouchard Père & Fils,2020,0,0,1,0,0,0,0,0
1308,France,"Crisp and packed with lively lemon-like acidity, this wine shows both minerality and intense fruitiness. Textured and tight, it has hints of yellow fruit in the background that will blossom as the wine develops. Drink from 2021.",La Maltroie Premier Cru,94,54.0,Burgundy,Chassagne-Montrachet,Alex Gambal 2020 La Maltroie Premier Cru  (Chassagne-Montrachet),Chardonnay,Alex Gambal,2020,0,0,1,0,0,0,0,0
1469,France,"Soft and fruity, this is an easy-to-drink wine. Its creamy texture and balanced acidity complement its apple flavors. It's ready to drink.",La Châsse,85,11.0,France Other,Vin de France,Gabriel Meffre 2022 La Châsse Chardonnay (Vin de France),Chardonnay,Gabriel Meffre,2022,0,0,0,0,1,0,0,0
1637,France,"This light, fresh Chardonnay has lively pear and apple flavors. A crisp texture gives zing to the brightly fruity wine. Drink now.",,85,16.0,Beaujolais,Beaujolais-Villages,Jean-Marc Burgaud 2020  Beaujolais-Villages,Chardonnay,Jean-Marc Burgaud,2020,0,1,0,0,0,0,0,0
1712,France,"From old vines, at least 50 years old, this shows good concentration, giving a dense, ripe, rounded wine full of green apple fruits, hints of vanilla and streaks of minerality.",Les Vénérables,89,37.0,Burgundy,Chablis,La Chablisienne 2011 Les Vénérables  (Chablis),Chardonnay,La Chablisienne,2011,0,0,1,0,0,0,0,0
1724,France,"This is a cool cru, which shows even in this great year with its structure, austerity and steely character. It makes it old-style Chablis, with its green fruits and lively, poised freshness.",Côte de Léchet Premier Cru,89,42.0,Burgundy,Chablis,La Chablisienne 2011 Côte de Léchet Premier Cru  (Chablis),Chardonnay,La Chablisienne,2011,0,0,1,0,0,0,0,0
1845,France,"With touches of vanilla and caramel as well as ripe yellow fruits, this is a warm, generous Chardonnay. It has freshness from the citrus edge and a soft texture. Straightforward, it is an open and ready-to-drink wine.",,87,19.0,Burgundy,Mâcon-Villages,Louis Jadot 2018  Mâcon-Villages,Chardonnay,Louis Jadot,2018,0,0,1,0,0,0,0,0
2036,France,"While the aromas of this young wine reveal considerable toast, on the palate the wine brings forward the ripe apricot and mango flavors to go with that wood. As it matures, these elements will coalesce with the taut, tense mineral texture into an superb, ageworthy terroir-driven wine.",Les Combettes Premier Cru,94,178.0,Burgundy,Puligny-Montrachet,Domaine Leflaive 2015 Les Combettes Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive,2015,0,0,1,0,0,0,0,0
2037,France,"This rich wine balances ripe yellow fruits with intense citrus acidity in a harmonious whole. Its structure is laden with minerality, toast and a smooth, delicious creamy aftertaste.",Les Pucelles Premier Cru,94,203.0,Burgundy,Puligny-Montrachet,Domaine Leflaive 2015 Les Pucelles Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive,2015,0,0,1,0,0,0,0,0
2138,France,"Full-bodied wine with ripe pear and red apple flavors, laced with delicate acidity. It's an elegant wine, a fine balance with a more mineral, tight texture as a counterpoint. Drink from 2018.",Château de Chamirey,88,33.0,Burgundy,Mercurey,Domaines Devillard 2017 Château de Chamirey  (Mercurey),Chardonnay,Domaines Devillard,2017,0,0,1,0,0,0,0,0
2178,France,"Consistently the top showing wine from the Le Val range, this is ripe and rounded, with a creamy texture and a toasty, spicy touch from light wood aging. Drink now.",Le Val,87,15.0,France Other,Vin de France,Vinadeis 2022 Le Val Chardonnay (Vin de France),Chardonnay,Vinadeis,2022,0,0,0,0,1,0,0,0
2182,France,"Based in Burgundy, this producer understands Chardonnay. That's why this wine is so finely balanced, with a ripe and perfumed character and a warm, full aftertaste. Drink now.",Tramier,87,14.0,France Other,Vin de France,L. Tramier & Fils 2022 Tramier Chardonnay (Vin de France),Chardonnay,L. Tramier & Fils,2022,0,0,0,0,1,0,0,0
2640,France,"One of the lesser-known of the many Mâcon appellations, Péronne is close to Clessé. The wine is smooth, ripe and fruity, with a creamed pear and lightly lemon flavor. With a hint of minerality, it could age until 2020.",Les Villages de Jaffelin,86,19.0,Burgundy,Mâcon-Péronne,Jaffelin 2019 Les Villages de Jaffelin  (Mâcon-Péronne),Chardonnay,Jaffelin,2019,0,0,1,0,0,0,0,0
2688,France,"A ripe, crisp, very fresh Chablis bursting with green fruits, with a light layer of caramel and green herbs. Delicious now.",,86,29.0,Burgundy,Chablis,Simonnet-Febvre 2012  Chablis,Chardonnay,Simonnet-Febvre,2012,0,0,1,0,0,0,0,0
2791,France,"Beautiful lemon-scented wine, balancing rich butter and apricot flavors with intense, pure acidity. The wine at this stage is toast and fruit, still coalescing into its long-term future.",Clavoillon Premier Cru,94,133.0,Burgundy,Puligny-Montrachet,Domaine Leflaive 2014 Clavoillon Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive,2014,0,0,1,0,0,0,0,0
3011,France,"This wine is missing great depth of flavor. It has bright acidity and hints of peach fruit flavors, but remains dull.",,84,21.0,Burgundy,Pouilly-Fuissé,Joseph Drouhin 2018  Pouilly-Fuissé,Chardonnay,Joseph Drouhin,2018,0,0,1,0,0,0,0,0
3013,France,"This is a generous, rounded and very perfumed wine. Candy and bubble gum flavors give sweetness that contrasts with the acidity.",Château de Messey Les Crets,84,18.0,Burgundy,Mâcon-Chardonnay,Demessey 2018 Château de Messey Les Crets  (Mâcon-Chardonnay),Chardonnay,Demessey,2018,0,0,1,0,0,0,0,0
3027,France,"Tropical in character, this wine has soft acidity and an attractive texture. With ripe mango flavor, it's full in the mouth and ready to drink.",Vieilles Vignes,84,22.0,Burgundy,Viré-Clessé,Jean-Marie Challand 2018 Vieilles Vignes  (Viré-Clessé),Chardonnay,Jean-Marie Challand,2018,0,0,1,0,0,0,0,0
3030,France,"Tight, acidic and very crisp, it's propelled forward by lemon zest and grapefruit flavors. It is bright, fruity and light in texture.",,84,17.0,Burgundy,Saint-Véran,Pierre André 2018  Saint-Véran,Chardonnay,Pierre André,2018,0,0,1,0,0,0,0,0
3031,France,"This soft, open wine has a light fruit character with attractive acidity and a crisp aftertaste. Drink now.",Les Tilles,84,17.0,Burgundy,Mâcon-Villages,Jean-Marie Challand 2018 Les Tilles  (Mâcon-Villages),Chardonnay,Jean-Marie Challand,2018,0,0,1,0,0,0,0,0
3337,France,"Soft and full-bodied, this offers bright apple and citrus fruits layered with toast from wood aging. Under the broad exterior, the wine is developing more tangy, zesty fruits and a tight texture. It needs to age to bring everything together. Drink from 2021.",Vaillons Premier Cru,91,36.0,Burgundy,Chablis,La Chablisienne 2018 Vaillons Premier Cru  (Chablis),Chardonnay,La Chablisienne,2018,0,0,1,0,0,0,0,0
3644,France,"The wine comes from the highest point of the slope above Santenay, giving it an attractive cool and crisp character. With its delicious, refreshing acidity as well as ripe pear flavors it is balanced, minerally and with fine acidity. The aftertaste confirms that the wine is ready to drink.",Comme Dessus,88,27.0,Burgundy,Santenay,Domaine Julie Belland 2020 Comme Dessus  (Santenay),Chardonnay,Domaine Julie Belland,2020,0,0,1,0,0,0,0,0
3737,France,"This ripe wine is full of minerality and rich white and yellow fruit. Still young, it's deliciously creamy and bright, showing great potential for aging into something serious. Drink from 2024.",Preuses Grand Cru,92,50.0,Burgundy,Chablis,Simonnet-Febvre 2020 Preuses Grand Cru  (Chablis),Chardonnay,Simonnet-Febvre,2020,0,0,1,0,0,0,0,0
3738,France,"This normally cool Premier Cru has done particularly well in the 2019 vintage. This bottling is ripe and full of white fruit, while keeping a strong line of fine, tight acidity. It will be ready to drink soon, so only wait until 2022.",Côte de Lechet Premier Cru,92,31.0,Burgundy,Chablis,Simonnet-Febvre 2021 Côte de Lechet Premier Cru  (Chablis),Chardonnay,Simonnet-Febvre,2021,0,0,1,0,0,0,0,0
3830,France,"The wine is ripe with a fine mix of generous fruits and layers of toast. It is an opulent wine, full of fruitiness and with a crisper side from juicy acidity. Produced from 48-year-old vines, it has some fine concentration that gives the wine extra richness. Drink from 2021.",,88,27.0,Burgundy,Saint-Aubin,Roche de Bellene 2020  Saint-Aubin,Chardonnay,Roche de Bellene,2020,0,0,1,0,0,0,0,0
3936,France,"Ripe and soft, with a texture that is well balanced, this wine has peach and apricot flavors marrying well with the layers of wood. There is a strong, fresh element to give the wine a final lift.",Clos de France,91,46.0,Burgundy,Pouilly-Fuissé,Roger Lassarat 2014 Clos de France  (Pouilly-Fuissé),Chardonnay,Roger Lassarat,2014,0,0,1,0,0,0,0,0
3940,France,"A great swathe of rich, well–defined fruit and a complex texture of pear and apple skins along with the freshest grapefruit and citrus character. This is an intense wine, the fruit fully in focus.",Domaine la Soufrandière Climat les Quarts,91,56.0,Burgundy,Saint-Véran,Bret Brothers 2014 Domaine la Soufrandière Climat les Quarts  (Saint-Véran),Chardonnay,Bret Brothers,2014,0,0,1,0,0,0,0,0
3943,France,"Initially soft, this wine then reveals a firmer structure, and a salty and mineral texture. There is an element of toastiness, rounding out the crisp apple and citrus fruit flavors. A cool, elegant wine.",Les Caradeux Premier Cru,91,67.0,Burgundy,Pernand-Vergelesses,Chanson Père et Fils 2013 Les Caradeux Premier Cru  (Pernand-Vergelesses),Chardonnay,Chanson Père et Fils,2013,0,0,1,0,0,0,0,0
3944,France,"A wine that is broad, feeling full-bodied, with weight, pear and quince fruit flavors. The wine is attractively plump, toast and acidity adding richness. It opens slowly to give a rich aftertaste.",Domaine des Deux Roches Rives de Longsault,91,35.0,Burgundy,Saint-Véran,Collovray et Terrier 2013 Domaine des Deux Roches Rives de Longsault  (Saint-Véran),Chardonnay,Collovray et Terrier,2013,0,0,1,0,0,0,0,0
3945,France,"A good contrast between weighty, rich fruit and a steely structure. White fruits and acidity offer freshness, while the more austere edge gives the wine a serious, solid character. For aging.",Le Limosin,91,75.0,Burgundy,Meursault,Domaine Michel Bouzereau 2014 Le Limosin  (Meursault),Chardonnay,Domaine Michel Bouzereau,2014,0,0,1,0,0,0,0,0
3949,France,"Full in the mouth, round and rich, the wine is finely structured, fresh and ripe at the same time. Delicious.",Alliance,91,43.0,Burgundy,Pouilly-Fuissé,Daniel Barraud 2014 Alliance  (Pouilly-Fuissé),Chardonnay,Daniel Barraud,2014,0,0,1,0,0,0,0,0
3953,France,"A rounded wine, with a counterpoint of apple skin texture, the fruit flavors offering acidity as well as green plums. The texture is plush, velvet, delicious.",Charmes Premier Cru,91,70.0,Burgundy,Meursault,Louis Latour 2014 Charmes Premier Cru  (Meursault),Chardonnay,Louis Latour,2014,0,0,1,0,0,0,0,0
3954,France,"Big and broad with fruit that is full and ripe, packed with golden apple flavors. It has great texture and sweetness, with a well-judged touch of vanilla from the wood.",Goutte d'Or Premier Cru,91,70.0,Burgundy,Meursault,Louis Latour 2014 Goutte d'Or Premier Cru  (Meursault),Chardonnay,Louis Latour,2014,0,0,1,0,0,0,0,0
3956,France,"Strong wood aromas show in the toasty edge of this spicy wine. Ripe yellow fruits are full in the mouth, with a crisp, bright aftertaste to give a final lift.",,88,18.0,Burgundy,Mâcon-Milly Lamartine,Domaine Carrette 2022  Mâcon-Milly Lamartine,Chardonnay,Domaine Carrette,2022,0,0,1,0,0,0,0,0
3959,France,"This rounded wine is soft and ripe. Along with its smooth, warm texture it offers generous pear and melon flavors. Acidity adds an attractive final crispness. Drink now.",,88,21.0,Burgundy,Saint-Véran,Domaine Pascal et Mireille Renaud 2021  Saint-Véran,Chardonnay,Domaine Pascal et Mireille Renaud,2021,0,0,1,0,0,0,0,0
3968,France,"This smooth and creamy wine is spicy with wood aging and rich with yellow fruits. It presents a generous character, rounded and open. The wine is ready to drink.",Clos Reyssie,88,27.0,Burgundy,Pouilly-Fuissé,Georges Duboeuf 2021 Clos Reyssie  (Pouilly-Fuissé),Chardonnay,Georges Duboeuf,2021,0,0,1,0,0,0,0,0
3969,France,"This mango-flavored wine is ripe, generous and fruity. Its richness and spice are right up front. It is a gorgeous wine, smooth, creamy and ready to drink.",Domaine du Bois Rosier,88,27.0,Burgundy,Pouilly-Fuissé,Georges Duboeuf 2021 Domaine du Bois Rosier  (Pouilly-Fuissé),Chardonnay,Georges Duboeuf,2021,0,0,1,0,0,0,0,0
3973,France,"Touches of wood, not new, give this wine spice and roundness. It is an attractive, citrus-flavored wine, with yellow fruits coming from behind as the wine opens up. Drink now.",,88,22.0,Burgundy,Marsannay,Louis Latour 2021  Marsannay,Chardonnay,Louis Latour,2021,0,0,1,0,0,0,0,0
3977,France,"This smooth wine has a rounded, soft texture, but acidity and a citrus edge creep into the peach and pineapple fruits. Drink now.",Vieilles Vignes,88,28.0,Burgundy,Pouilly-Fuissé,Meurgey-Croses 2021 Vieilles Vignes  (Pouilly-Fuissé),Chardonnay,Meurgey-Croses,2021,0,0,1,0,0,0,0,0
3981,France,"This ripe wine is already delicious with its full, bold fruits and peach and mango flavors. It's full of rich fruits and touched lightly by spice. Drink this generous wine from 2022.",,88,22.0,Burgundy,Saint-Véran,Rijckaert 2021  Saint-Véran,Chardonnay,Rijckaert,2021,0,0,1,0,0,0,0,0
4000,France,"This wine is tight and closed up. It does suggest plenty of fruit weight, hinting at toast and apple flavors that will come through over the next several years to give a rich wine. Drink from 2022.",Charmes Premier Cru,89,66.0,Burgundy,Meursault,Domaine Faiveley 2021 Charmes Premier Cru  (Meursault),Chardonnay,Domaine Faiveley,2021,0,0,1,0,0,0,0,0
4001,France,"The wood-aging flavors show strongly in this ripe wine, balancing with the apple acidity and the touches of green-plum fruits. A streak of minerality adds to the complexity of this delicious wine. Drink from 2022.",Les Ecussaux Premier Cru,89,29.0,Burgundy,Auxey-Duresses,Domaine Jessiaume 2021 Les Ecussaux Premier Cru  (Auxey-Duresses),Chardonnay,Domaine Jessiaume,2021,0,0,1,0,0,0,0,0
4002,France,"This wine is ripe, rounded with a smooth vanilla and spice texture that complements the yellow fruit and rich pear flavors. The wine is generous and likely to age quickly. Drink from 2023.",Dessus des Golardes,89,31.0,Burgundy,Savigny-lès-Beaune,Domaine Pierre Guillemot 2021 Dessus des Golardes  (Savigny-lès-Beaune),Chardonnay,Domaine Pierre Guillemot,2021,0,0,1,0,0,0,0,0
4003,France,"This is a tight, tangy wine, laced with attractive wood flavors. Plenty of crisp citrus and spicy flavors balance each other. It is already delicious, so drink now.",,89,23.0,Burgundy,Mâcon-Verze,Domaine Sophie Cinier 2022  Mâcon-Verze,Chardonnay,Domaine Sophie Cinier,2022,0,0,1,0,0,0,0,0
4677,France,"Full of tropical fruits, this ripe, textured wine is rich in aromas and depth. Abundant peach and apricot flavors give immediate pleasure and attractiveness. Drink this opulent wine now.",A la Percenette,90,36.0,France Other,Côtes du Jura,Domaine Pignier 2017 A la Percenette Chardonnay (Côtes du Jura),Chardonnay,Domaine Pignier,2017,0,0,0,0,1,0,0,0
4732,France,"From old vines planted in 1955, this dense, impressive wine offers both perfume apple and pear fruits and a creamy texture. Behind this generous front, the wine is tight, steely and needs to age. Give it until 2022.",Fourchaume Premier Cru Vieilles Vignes,91,41.0,Burgundy,Chablis,Domaine Vrignaud 2019 Fourchaume Premier Cru Vieilles Vignes  (Chablis),Chardonnay,Domaine Vrignaud,2019,0,0,1,0,0,0,0,0
4878,France,"This wine, a blend from many Mâcon vineyards, is crisp and full of acidity, making it bright and tangy. Its freshness is up front with apple and citrus fruits. The mineral texture gives an attractive tautness, and the wine is drinkable now.",Terroir du Mâconnais,88,24.0,Burgundy,Mâcon-Villages,Bret Brothers 2020 Terroir du Mâconnais  (Mâcon-Villages),Chardonnay,Bret Brothers,2020,0,0,1,0,0,0,0,0
4886,France,"This wine is buttery and has a creamy texture along with a fresh streak. Apple flavors are lifted with citrus while also filled out with that rounder character, making for an immediately attractive, ripe wine. Drink now.",Les Mûres,88,22.0,Burgundy,Saint-Véran,Domaine Carrette 2020 Les Mûres  (Saint-Véran),Chardonnay,Domaine Carrette,2020,0,0,1,0,0,0,0,0
4893,France,"This wine is round and smooth, with attractive white-fruit flavors. The light acidity is more than compensated by the touch of toastiness and spice. With a juicy aftertaste, the wine is already very enjoyable.",,88,21.0,Burgundy,Mâcon-Villages,Trenel Fils 2020  Mâcon-Villages,Chardonnay,Trenel Fils,2020,0,0,1,0,0,0,0,0
4906,France,"Peach and lemon combine in this superripe Chablis. Reflecting the warm vintage, the wine is soft, laced with lime juice acidity and hinting at vanilla and thyme. Round and warm, it is not typical Chablis, much more akin to a Meursault.",Premier Cru Réserve,88,42.0,Burgundy,Chablis,Labouré-Roi 2015 Premier Cru Réserve  (Chablis),Chardonnay,Labouré-Roi,2015,0,0,1,0,0,0,0,0
5064,France,"New wood overwhelms the aromas, and it also dominates the palate of this wine. It just keeps on the right side of drinkability because the spice merges into pear flavors to give an intriguing nutmeg character, while the aftertaste offers freshness. The wine needs at least a year to blend together.",Les Brulés,90,68.0,Burgundy,Pouilly-Fuissé,Château de Fuissé 2012 Les Brulés  (Pouilly-Fuissé),Chardonnay,Château de Fuissé,2012,0,0,1,0,0,0,0,0
5204,France,"A soft, lightly fruity wine, this is light in texture and flavor, with the merest hints of citrus fruits, apples and tangy orange. The wine is ready to drink.",,83,8.0,France Other,Vin de France,Le Petit Cochonnet 2021 Chardonnay (Vin de France),Chardonnay,Le Petit Cochonnet,2021,0,0,0,0,1,0,0,0
5205,France,"This wine is textured, tight and seems to be missing out on fruit. It has pepper, spice and just a few hints of green plums. There is a bitter aftertaste.",,83,9.0,France Other,Vin de France,L'original French Kiss 2021 Chardonnay (Vin de France),Chardonnay,L'original French Kiss,2021,0,0,0,0,1,0,0,0
5228,France,"This light, gently fruity wine has a soft, candied pear and apple flavor that is open, immediately accessible. The wine is ready to drink.",,83,8.0,France Other,Vin de France,Patriarche Père et Fils 2021 Chardonnay (Vin de France),Chardonnay,Patriarche Père et Fils,2021,0,0,0,0,1,0,0,0
5234,France,"A simple, fruity wine, this offers attractive citrus flavors and a ripe texture. Yellow fruits add richness while the acidity shoots through at the end.",,84,16.0,Burgundy,Petit Chablis,Domaine Chatelain 2019  Petit Chablis,Chardonnay,Domaine Chatelain,2019,0,0,1,0,0,0,0,0
5282,France,"This is a classic mineral-driven wine with its intense acidity and bright lemon fruit. Textured and crisp with acidity, it's packed with great fruitiness. From a fine vintage for whites, it has a cool, stylish aftertaste. Drink now.",,88,24.0,Burgundy,Pouilly-Fuissé,Vignerons des Terres Secrètes 2020  Pouilly-Fuissé,Chardonnay,Vignerons des Terres Secrètes,2020,0,0,1,0,0,0,0,0
5299,France,"Made from fruit selected across this southern Burgundy appellation, this wine has a touch of minerality and more attractive white fruit. It's rich, soft, full-bodied and fruity. Drink now.",,88,23.0,Burgundy,Pouilly-Fuissé,Florent Descombe 2020  Pouilly-Fuissé,Chardonnay,Florent Descombe,2020,0,0,1,0,0,0,0,0
5326,France,"This beautiful wine is austere at this very young stage. But what pent-up power—the richness comes from glorious ripe fruit, tempered with a core of steel and wrapped with pure lemon, apricot and toast flavors. Age for 10 years at least.",,97,351.0,Burgundy,Bâtard-Montrachet,Domaine Leflaive 2014  Bâtard-Montrachet,Chardonnay,Domaine Leflaive,2014,0,0,1,0,0,0,0,0
5367,France,"Soft, lightly creamy Chardonnay, pleasantly fruity, offering some apple and pear flavors along with gentle acidity.",,84,14.0,Burgundy,Mâcon-Villages,Barton & Guestier 2015  Mâcon-Villages,Chardonnay,Barton & Guestier,2015,0,0,1,0,0,0,0,0
5398,France,"Light and fruity, this is an attractive, rounded wine. With its bright acidity, touch of minerality and orange-peel flavor, it is open and ready to drink.",,87,24.0,Burgundy,Chablis,Chanson Père et Fils 2020  Chablis,Chardonnay,Chanson Père et Fils,2020,0,0,1,0,0,0,0,0
5399,France,"With 62 acres of vines, this estate, which was created by the monks of Cluny, is one of the largest in the Mâcon region. This soft and fruity wine is immediately attractive. Apricot fruits are freshened by green plum and lemon. It is light and ready to drink now.",,87,19.0,Burgundy,Mâcon-Villages,Château de Mirande 2020  Mâcon-Villages,Chardonnay,Château de Mirande,2020,0,0,1,0,0,0,0,0
5492,France,"Tight and crisp initially, this wine opens up with spice, ripe flavors and a touch of minerality. Taut and textured, it needs to age; drink from 2021.",,87,26.0,Burgundy,Pouilly-Fuissé,Bouchard Père & Fils 2019  Pouilly-Fuissé,Chardonnay,Bouchard Père & Fils,2019,0,0,1,0,0,0,0,0
5496,France,"This ripe, smooth and creamy wine conveys flavors of tropical fruits, apricots and ripe pears. A lightly toasty character gives some spice and richness to the fruitiness. The wine is ready to drink, full of fruit and freshness at the end.",,87,26.0,Burgundy,Saint-Véran,Château de Fuissé 2019  Saint-Véran,Chardonnay,Château de Fuissé,2019,0,0,1,0,0,0,0,0
5497,France,"Touches of toastiness give a wine that is ripe, honeyed and accented by smooth caramel. It's a generous wine that has almost sweet acidity. Full and broad in character, it can be drunk now.",Domaine de la Garenne,87,22.0,Burgundy,Mâcon-Azé,Domaines Devillard 2019 Domaine de la Garenne  (Mâcon-Azé),Chardonnay,Domaines Devillard,2019,0,0,1,0,0,0,0,0
